,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
0,54353,304 E 12th St,,2.0,93.0,100.0,100.0,2019-06-21 18:29:00+00:00,94.3802,True,True,FLEX 2 BEDROOMS STEPS TO UNION SQUARE--E12th/2nd AVE--AUGUST 1,2850,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-flex-2-bedrooms-steps-to/6917222439.html,40.730641,-73.985152,False,False,True,10003,Lower East Side,Manhattan
1,54381,51 2nd Ave,,3.0,95.0,100.0,100.0,2019-06-21 19:11:00+00:00,0.0000,True,True,PERFECT 3 BR in the <3 of EAST VILLAGE available AUGUST 1st NO FEE,4450,L,https://newyork.craigslist.org/mnh/nfb/d/new-york-city-perfect-3-br-in-the-3-of/6917328936.html,40.725582,-73.989870,False,True,False,10003,Lower East Side,Manhattan
2,54672,320 E 9th St,,5.0,95.0,100.0,100.0,2019-06-22 01:25:00+00:00,107.2161,True,True,Unbelievable East Village Triplex!,28500,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-unbelievable-east-village/6913782754.html,40.728642,-73.986421,False,False,False,10003,Lower East Side,Manhattan
3,54752,64 3rd Ave,,1.0,93.0,100.0,100.0,2019-06-22 03:07:00+00:00,25.4789,True,True,"Great deal!!! NO FEE!!! W/D unit, newly renovated, East V",3095,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-great-deal-no-fee-d-unit/6915977647.html,40.731300,-73.989200,False,True,False,10003,Lower East Side,Manhattan
4,54756,64 3rd Ave,,1.0,93.0,100.0,100.0,2019-06-22 03:06:00+00:00,25.4789,True,True,"***NO FEE*** newly renovated, W/D unit, dishwasher, newly renovated",2895,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-no-fee-newly-renovated-d/6915978235.html,40.731300,-73.989200,False,True,False,10003,Lower East Side,Manhattan
5,54916,123 E 16th St,,3.0,91.0,100.0,100.0,2019-06-22 07:27:00+00:00,0.0000,True,True,"BRAND NEW HUGE TRUE 3 BDR 2BATH 24/7 DOORMAN, ELEVATOR, LAUNDRY",7700,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-brand-new-huge-true-3-bdr/6913237919.html,40.735292,-73.987817,False,False,False,10003,Lower East Side,Manhattan
6,54925,72 2nd Ave,,3.0,95.0,100.0,100.0,2019-06-22 07:25:00+00:00,0.8683,True,True,"NO FEE GORGEOUS 3 BDR 2BATH+WASHER/ DRYER IN UNIT, ELEVATOR BUILDING",6100,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-no-fee-gorgeous-3-bdr/6905530955.html,40.726188,-73.989429,False,True,True,10003,Lower East Side,Manhattan
7,55454,310 2nd Ave,,3.0,92.0,100.0,99.0,2019-06-23 20:38:00+00:00,15.0603,True,True,"Gramercy-Stunning 3br-Reno, balcony, W&D, DW, sunny- NO FEE",5995,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-gramercy-stunning-3br/6918717354.html,40.734706,-73.982878,False,True,True,10003,Lower East Side,Manhattan
8,55481,343 E 9th St,,1.0,95.0,100.0,100.0,2019-06-23 20:29:00+00:00,238.8609,True,True,"E. Village- Amazing 1br- Reno, W&D, DW, low floor- NO FEE",3100,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-village-amazing-1br-reno/6918695844.html,40.728365,-73.985238,False,True,True,10003,Lower East Side,Manhattan
9,55497,64 3rd Ave,,,93.0,100.0,100.0,2019-06-23 20:15:00+00:00,25.4789,True,True,Prime Location UNION SQUARE NO FEE!!,2472,L,https://newyork.craigslist.org/mnh/abo/d/new-york-city-prime-location-union/6918683721.html,40.731300,-73.989200,False,True,True,10003,Lower East Side,Manhattan
10,55521,354 E 9th St,,2.0,95.0,100.0,100.0,2019-06-23 19:56:00+00:00,236.5618,True,True,"E. Village- Stunning 2br- Reno, W&D, DW, sunny- NO FEE",4200,R,https://newyork.craigslist.org/mnh/abo/d/new-york-city-village-stunning-2br-reno/6918684837.html,40.728316,-73.985281,False,True,True,10003,Lower East Side,Manhattan
