,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
0,21044,320 Chauncey St,,3.0,64.0,100.0,92.0,2019-06-21 14:34:00+00:00,0.0000,True,True,YOU’RE IN GOOD HANDS...T E X T US TO VIEW BK’S BEST *NO FEE* APTS,2700,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-youre-in-good-handst-x-us-to/6911917730.html,40.6815,-73.9197,True,True,True,11233,Central Brooklyn,Brooklyn
1,21046,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 14:33:00+00:00,0.0131,True,True,THIS IS THE ONE YOU’VE BEEN LOOKING FOR… CALL TODAY TO VIEW,2875,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-this-is-the-one-youve-been/6914527887.html,40.6941,-73.9343,True,False,True,11221,Bushwick and Williamsburg,Brooklyn
2,21047,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 14:33:00+00:00,0.0131,True,True,SIMPLIFY YOUR SEARCH WITH US**PRO TEAM W/ BIG INVENTORY OF NO FEE APTS,2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-simplify-your-search-with/6914529944.html,40.6941,-73.9343,True,True,True,11221,Bushwick and Williamsburg,Brooklyn
3,21050,332 Irving Ave,,2.0,87.0,100.0,96.0,2019-06-21 14:31:00+00:00,1.0490,True,True,Spacious   2br just 1 block from L and M trains,2300,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-2br-just-1-block-from/6915400788.html,40.6984,-73.9133,True,False,True,11237,Bushwick and Williamsburg,Brooklyn
4,21051,1149 Bushwick Ave,,3.0,77.0,95.0,94.0,2019-06-21 14:31:00+00:00,0.0000,True,True,Beautiful renovated 3br - laundry in unit - no fee,2875,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-renovated-3br/6915405145.html,40.6892,-73.9176,True,True,True,11221,Bushwick and Williamsburg,Brooklyn
5,21055,2199 Bergen St,800.0,1.0,82.0,100.0,93.0,2019-06-21 14:30:00+00:00,0.0000,True,True,Bright&Sunny 1 bed!Near Subway/laundry!Amazing Offer!MUST SEE!,1750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-brightsunny-1-bednear-subway/6917223949.html,40.6738,-73.9075,True,False,True,11233,Central Brooklyn,Brooklyn
6,21057,1386 Nostrand Ave,,1.0,67.0,99.0,96.0,2019-06-21 14:28:00+00:00,0.0000,True,True,Beautiful   1br in flatbush  in-unit washer/dryer,2421,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-1br-in-flatbush-in/6917211801.html,40.6526,-73.9498,True,False,True,11226,Flatbush,Brooklyn
7,21063,334 Franklin Ave,,1.0,85.0,100.0,95.0,2019-06-21 14:26:00+00:00,0.0216,True,True,**1Bedroom-1Bath In The Heart Of Bed-Stuy,2200,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-1bedroom-1bath-in-the-heart-of/6917174366.html,40.6877,-73.9570,True,False,True,11238,Central Brooklyn,Brooklyn
8,21066,790 Lexington Ave,,3.0,72.0,92.0,96.0,2019-06-21 14:52:00+00:00,0.0000,True,True,"Cut your search time in half… work with experienced,to find apt",3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-cut-your-search-time-in-half/6911933111.html,40.6904,-73.9275,True,False,True,11221,Bushwick and Williamsburg,Brooklyn
9,21070,552 Gates Ave,,2.0,79.0,100.0,91.0,2019-06-21 14:51:00+00:00,129.3105,True,True,AMAZING 2BR 1.5BA*SPACIOUS APT *Roof Top*Yard*Laundry Room*,2383,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-2br-15baspacious-apt/6917203546.html,40.6868,-73.9435,True,False,True,11221,Bushwick and Williamsburg,Brooklyn
10,21072,1023 Avenue K,,2.0,76.0,89.0,95.0,2019-06-21 14:51:00+00:00,22.3142,True,True,Spacious 2 Bedroom Close to the Subway,2000,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-2-bedroom-close-to/6917230768.html,40.6225,-73.9650,True,False,True,11230,Borough Park,Brooklyn
11,21075,500 Decatur St,,2.0,66.0,100.0,94.0,2019-06-21 14:50:00+00:00,0.0000,True,True,EXTRAORDINARY LAYOUT WITH AN EXTRA SPACE!__LIVE-WORK__NO FEE!__,2201,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-extraordinary-layout-with-an/6913936497.html,40.6827,-73.9227,True,True,True,11233,Central Brooklyn,Brooklyn
12,21076,362 Hooper St,,1.0,90.0,100.0,97.0,2019-06-21 14:50:00+00:00,0.0000,True,True,EXQUISITE 1 BEDROOM!___EXPOSED BRICK__STAINLESS APPLIANCES___NO FEE,2450,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-exquisite-1-bedroomexposed/6911263200.html,40.7090,-73.9528,True,True,True,11211,Greenpoint,Brooklyn
13,21079,311 Rodney St,,2.0,91.0,100.0,98.0,2019-06-21 14:49:00+00:00,38.0845,True,True,"Williamsburg-No fee, True 2 BR, Charming & Renovated,Exposed Brick 7/1",2850,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-williamsburg-no-fee-true-2-br/6917244723.html,40.7090,-73.9561,True,True,True,11211,Greenpoint,Brooklyn
14,21081,455 E 45th St,,3.0,66.0,79.0,93.0,2019-06-21 14:49:00+00:00,76.4389,True,True,"EAST FLATBUSH🌸BRAND NEW 3BR APT,MASSIVE BEDROMS,CLOSETS,NO FEE",2449,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-east-flatbushbrand-new-3br/6917284042.html,40.6505,-73.9349,True,True,True,11203,Flatbush,Brooklyn
15,21084,384 Cadman Plz W,,,91.0,100.0,99.0,2019-06-21 15:13:00+00:00,77.6518,True,True,33 Bond Street - Studio,2390,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-33-bond-street-studio/6914701781.html,40.6940,-73.9903,True,False,True,11201,Northwest Brooklyn,Brooklyn
16,21085,83 Jefferson Ave,,3.0,81.0,100.0,98.0,2019-06-21 15:13:00+00:00,0.1106,True,True,TRIPLEX - 3 Bedroom and 3 Bathrooms,4995,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-triplex-3-bedroom-and-3/6913797559.html,40.6828,-73.9538,True,False,True,11216,Central Brooklyn,Brooklyn
17,21086,3 Hopkins St,,2.0,79.0,100.0,94.0,2019-06-21 15:13:00+00:00,1.1132,True,True,Newly renovated apt w/ huge rooms close to train,2500,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-newly-renovated-apt-huge-rooms/6917227027.html,40.6994,-73.9471,True,False,True,11206,Bushwick and Williamsburg,Brooklyn
18,21087,1386 Nostrand Ave,,1.0,67.0,99.0,96.0,2019-06-21 15:12:00+00:00,0.0000,True,True,Generous balconies and unparalleled views of the neighborhood,1760,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-generous-balconies-and/6917209619.html,40.6526,-73.9498,True,False,True,11226,Flatbush,Brooklyn
19,21088,1800 Newkirk Ave,,1.0,83.0,100.0,93.0,2019-06-21 15:12:00+00:00,0.0000,True,True,Spacious 1 Bedroom apartment has a Sunny living room,1875,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-1-bedroom-apartment/6917219766.html,40.6368,-73.9607,True,False,True,11226,Flatbush,Brooklyn
20,21092,266 Jefferson St,,3.0,89.0,96.0,98.0,2019-06-21 15:11:00+00:00,1.0851,True,True,"Light-filled apt, modern design, close to subway & good food!",3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-light-filled-apt-modern-design/6917220784.html,40.7037,-73.9269,True,False,True,11237,Bushwick and Williamsburg,Brooklyn
21,21094,27 Ford St,,2.0,82.0,100.0,97.0,2019-06-21 15:11:00+00:00,15.8213,True,True,"Big Windows, Open Layout, Elevator, Modern Kitchen, Full Amenities",2795,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-big-windows-open-layout/6917253327.html,40.6653,-73.9293,True,False,True,11213,Central Brooklyn,Brooklyn
22,21095,201 Livingston St,,,91.0,100.0,99.0,2019-06-21 15:10:00+00:00,0.0000,True,True,33 Bond Street - Studio,3110,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-33-bond-street-studio/6910435772.html,40.6887,-73.9836,True,False,True,11217,Northwest Brooklyn,Brooklyn
23,21100,399 Quincy St,,3.0,80.0,100.0,92.0,2019-06-21 15:09:00+00:00,0.0000,True,True,"Modern apt at excellent rent, 25 mins to the city",2850,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-modern-apt-at-excellent-rent/6911320354.html,40.6876,-73.9448,True,False,True,11216,Central Brooklyn,Brooklyn
24,21101,399 Quincy St,,4.0,80.0,100.0,92.0,2019-06-21 15:09:00+00:00,0.0000,True,True,two living rooms AND outdoor space at an affordable price,3395,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-two-living-rooms-and-outdoor/6917251856.html,40.6876,-73.9448,True,False,True,11216,Central Brooklyn,Brooklyn
25,21102,296 S 4th St,,2.0,91.0,100.0,99.0,2019-06-21 15:09:00+00:00,42.5434,True,True,No-fee 2 bedroom in new luxury building off the G train,2850,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fee-2-bedroom-in-new-luxury/6913421116.html,40.7095,-73.9563,True,False,True,11211,Greenpoint,Brooklyn
26,21104,399 Quincy St,,3.0,80.0,100.0,92.0,2019-06-21 15:33:00+00:00,0.0000,True,True,Beautiful modern apt in ideal location && no fee!,2850,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-modern-apt-in-ideal/6917281524.html,40.6876,-73.9448,True,True,True,11216,Central Brooklyn,Brooklyn
27,21106,296 S 4th St,,2.0,91.0,100.0,99.0,2019-06-21 15:32:00+00:00,42.5434,True,True,No-fee 2 bedroom in the heart of Williamsburg,3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fee-2-bedroom-in-the-heart/6910767308.html,40.7095,-73.9563,True,False,True,11211,Greenpoint,Brooklyn
28,21107,521 Nostrand Ave,,2.0,81.0,100.0,98.0,2019-06-21 15:32:00+00:00,26.3234,True,True,"BEDSTUY🔥PRIME BEDSTUY!GORGEOUS 2BR PENTHOUSE APT,ROOFTOP,LAUNDRY,C/A",2699,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-bedstuyprime-bedstuygorgeous/6917263027.html,40.6794,-73.9496,True,False,True,11216,Central Brooklyn,Brooklyn
29,21108,29 Thornton St,,3.0,79.0,100.0,98.0,2019-06-21 15:32:00+00:00,63.0137,True,True,"WILLIAMSBURG 🗝 NO FEE! 3BR 2BA APT IN-UNIT W/D, ROOFDECK G/M/J/TRAINS",4250,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-williamsburg-no-fee-3br-2ba/6917278159.html,40.7012,-73.9436,True,True,True,11206,Bushwick and Williamsburg,Brooklyn
30,21109,150 Manhattan Ave,,4.0,91.0,100.0,97.0,2019-06-21 15:32:00+00:00,0.0000,True,True,Each bedroom downstairs has a full bathroom,4750,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-each-bedroom-downstairs-has/6911240449.html,40.7079,-73.9450,True,False,True,11206,Bushwick and Williamsburg,Brooklyn
31,21110,27 Ford St,,2.0,82.0,100.0,97.0,2019-06-21 15:31:00+00:00,15.8213,True,True,"Spacious, Open Layout, Modern Fixtures, Gym, Elevator, Rooftops, Pets",2950,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-open-layout-modern/6917268448.html,40.6653,-73.9293,True,False,True,11213,Central Brooklyn,Brooklyn
32,21112,982 Glenmore Ave,1000.0,3.0,71.0,100.0,93.0,2019-06-21 15:31:00+00:00,17.2032,True,True,3 bedroom/1 bath apartment for rent,2300,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-3-bedroom-1-bath-apartment-for/6917344130.html,40.6762,-73.8736,True,False,True,11208,East New York and New Lots,Brooklyn
33,21114,2199 Bergen St,850.0,1.0,82.0,100.0,93.0,2019-06-21 15:30:00+00:00,0.0000,True,True,Perfect 1 bed!Near Subway/laundry!Amazing Offer!MUST SEE!,1750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-perfect-1-bednear-subway/6917231128.html,40.6738,-73.9075,True,False,True,11233,Central Brooklyn,Brooklyn
34,21118,209 Washington Ave,,1.0,92.0,100.0,98.0,2019-06-21 15:29:00+00:00,70.7435,True,True,**HOT DEAL**BRAND NEW APARTMENT**BEST LOCATION**GREAT PRICE**NO FEES**,1995,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-hot-dealbrand-new/6917263812.html,40.6924,-73.9666,True,True,True,11205,Northwest Brooklyn,Brooklyn
